Money;Date
180.08;2021-04-15 10:16:53.552755
180.32;2021-04-15 10:17:30.763394
180.70;2021-04-15 10:17:49.778067
181.09;2021-04-15 10:18:08.322794
181.43;2021-04-15 10:21:34.860572
181.77;2021-04-15 10:22:41.865646
182.13;2021-04-15 10:23:02.924330
181.13;2021-04-15 10:24:55.250025
180.13;2021-04-15 10:26:21.318828
179.13;2021-04-15 10:27:51.572959
179.45;2021-04-15 10:28:55.420185
178.45;2021-04-15 10:29:26.720905
178.79;2021-04-15 10:30:09.953340
179.14;2021-04-15 10:30:46.357548
178.14;2021-04-15 10:36:40.290894
178.04;2021-04-15 11:02:38.898061
178.14;2021-04-15 11:05:04.490044
178.04;2021-04-15 11:07:34.100082
178.14;2021-04-15 11:09:10.942426
178.04;2021-04-15 11:11:31.372343
177.94;2021-04-15 11:11:59.413000
177.84;2021-04-15 11:12:33.314596
177.84;2021-04-15 11:13:23.805045
178.11;2021-04-15 11:14:50.967357
178.20;2021-04-15 11:15:24.570192
178.10;2021-04-15 11:17:59.143090
178.20;2021-04-15 11:18:46.135642
178.10;2021-04-15 11:19:14.116292
178.20;2021-04-15 11:20:05.856941
178.29;2021-04-15 11:20:30.675186
178.19;2021-04-15 11:21:04.161190
178.29;2021-04-15 11:22:02.973168
178.19;2021-04-15 11:22:40.803136
178.09;2021-04-15 11:24:04.734291
178.19;2021-04-15 11:25:20.203619
178.29;2021-04-15 11:25:58.739226
178.39;2021-04-15 11:28:03.887999
178.48;2021-04-15 11:28:30.439889
178.38;2021-04-15 11:29:13.719288
178.28;2021-04-15 11:30:09.374673
178.38;2021-04-15 11:30:54.436695
178.28;2021-04-15 11:32:04.435512
178.38;2021-04-15 11:33:10.258190
178.47;2021-04-15 11:33:37.706420
178.37;2021-04-15 11:34:31.215766
178.27;2021-04-15 11:36:00.172889
178.36;2021-04-15 11:37:18.153302
178.36;2021-04-15 11:37:46.185265
178.46;2021-04-15 11:38:53.600781
178.36;2021-04-15 11:39:17.900255
178.46;2021-04-15 11:40:40.692939
178.55;2021-04-15 11:41:13.461347
178.65;2021-04-15 11:41:40.981297
178.55;2021-04-15 11:43:54.707781
178.45;2021-04-15 11:46:21.757463
178.49;2021-04-15 11:50:55.872964
178.49;2021-04-15 12:07:33.583697
178.58;2021-04-15 12:37:13.722312
178.48;2021-04-15 12:37:38.963976
178.38;2021-04-15 12:38:06.372569
178.28;2021-04-15 12:38:32.832819
178.38;2021-04-15 12:38:57.538926
178.28;2021-04-15 12:40:40.159034
178.37;2021-04-15 12:41:07.626182
178.37;2021-04-15 12:41:35.043072
178.17;2021-04-15 12:43:05.305955
178.17;2021-04-15 12:43:32.781110
178.07;2021-04-15 12:44:04.813464
177.97;2021-04-15 12:44:32.094449
177.97;2021-04-15 12:44:59.554027
178.06;2021-04-15 12:45:32.355055
177.96;2021-04-15 12:46:55.897263
177.96;2021-04-15 12:47:23.426120
178.06;2021-04-15 12:49:21.861333
177.96;2021-04-15 12:49:48.357187
177.96;2021-04-15 12:50:15.810016
177.86;2021-04-15 12:51:52.504129
177.86;2021-04-15 12:52:19.808543
177.92;2021-04-15 12:52:47.291239
177.82;2021-04-15 12:53:37.663194
177.91;2021-04-15 12:55:58.114711
177.81;2021-04-15 12:56:42.682340
177.81;2021-04-15 12:57:10.098903
177.71;2021-04-15 12:57:37.542851
177.61;2021-04-15 12:59:37.153794
177.61;2021-04-15 13:00:04.591356
177.51;2021-04-15 13:01:03.762785
177.41;2021-04-15 13:01:31.196080
177.51;2021-04-15 13:02:04.896672
177.60;2021-04-15 13:04:12.709869
177.69;2021-04-15 13:07:30.080382
177.59;2021-04-15 13:09:24.140622
177.68;2021-04-15 13:11:47.403803
177.78;2021-04-15 13:14:04.444295
177.87;2021-04-15 13:15:59.200896
177.96;2021-04-15 13:17:23.407895
178.05;2021-04-15 13:20:04.887798
178.14;2021-04-15 13:20:36.018244
178.04;2021-04-15 13:21:58.516935
178.13;2021-04-15 13:24:11.012419
178.03;2021-04-15 13:25:04.047666
177.93;2021-04-15 13:26:20.629811
177.83;2021-04-15 13:30:37.325063
177.92;2021-04-15 13:31:30.296756
178.01;2021-04-15 13:32:09.842605
178.10;2021-04-15 13:33:22.202833
178.00;2021-04-15 13:34:03.196346
177.90;2021-04-15 13:35:07.507413
177.99;2021-04-15 13:35:54.696847
178.09;2021-04-15 13:36:29.476733
178.18;2021-04-15 13:37:31.324514
178.27;2021-04-15 13:38:04.839883
178.17;2021-04-15 13:42:56.586838
178.07;2021-04-15 13:43:42.621979
178.16;2021-04-15 13:44:43.773081
178.06;2021-04-15 13:46:07.636798
178.15;2021-04-15 13:46:53.201996
178.25;2021-04-15 13:47:37.151798
178.34;2021-04-15 13:48:25.481416
178.44;2021-04-15 13:51:51.148067
178.53;2021-04-15 13:52:33.771556
178.62;2021-04-15 13:54:00.720674
178.52;2021-04-15 13:54:49.297580
178.42;2021-04-15 13:56:50.436160
178.52;2021-04-15 13:58:01.889046
178.42;2021-04-15 13:58:35.552544
178.32;2021-04-15 13:59:24.627640
178.41;2021-04-15 14:01:46.479044
178.31;2021-04-15 14:04:06.965422
178.40;2021-04-15 14:05:44.624387
178.49;2021-04-15 14:06:18.490759
178.39;2021-04-15 14:07:27.927249
178.49;2021-04-15 14:09:04.693780
178.58;2021-04-15 14:09:43.968891
178.67;2021-04-15 14:11:14.581653
178.57;2021-04-15 14:13:27.004057
178.66;2021-04-15 14:14:43.497877
178.56;2021-04-15 14:15:11.836182
178.46;2021-04-15 14:16:13.765565
178.55;2021-04-15 14:17:43.811409
178.45;2021-04-15 14:18:32.105955
178.54;2021-04-15 14:20:56.122628
178.63;2021-04-15 14:21:38.902600
178.53;2021-04-15 14:22:07.819954
178.43;2021-04-15 14:24:02.213623
178.48;2021-04-15 14:24:47.455404
178.47;2021-04-15 14:26:29.724854
178.56;2021-04-15 14:28:21.391053
178.65;2021-04-15 14:31:24.992832
178.55;2021-04-15 14:32:38.748972
178.45;2021-04-15 14:34:44.806470
178.35;2021-04-15 14:36:11.423022
178.44;2021-04-15 14:37:48.582707
178.54;2021-04-15 14:40:14.882144
178.44;2021-04-15 14:42:15.051061
178.53;2021-04-15 14:43:34.368520
178.62;2021-04-15 14:44:12.309913
178.52;2021-04-15 14:45:18.301349
178.61;2021-04-15 14:47:34.341611
178.71;2021-04-15 14:48:35.702016
178.80;2021-04-15 14:49:35.866662
178.70;2021-04-15 14:52:06.528196
178.60;2021-04-15 14:55:26.236074
178.50;2021-04-15 14:56:41.690585
178.59;2021-04-15 14:58:39.333052
